attribute_id;dispositivi_compatibili;raw_value;formatted_value;sample_values;axisGroup;code;description;formatValueOnly;formatWithUnit
317;Multiplus2;;;"1754310504:0; 1754310564:0; 1754310624:0; 1754310684:0; 1754310744:0";;t1;Energy AcIn1 to Multiplus2;%.2F;%.2F kWh
318;Multiplus2;;;"1754310508:0; 1754310568:0; 1754310628:0; 1754310688:0; 1754310748:0";;t2;Energy ACIn2 to Multiplus2;%.2F;%.2F kWh
319;Multiplus2;;;"1754310512:0; 1754310572:0; 1754310632:0; 1754310692:0; 1754310752:0";;t3;Energy ACIn1 to AcOut;%.2F;%.2F kWh
320;Multiplus2;;;"1754310516:0; 1754310576:0; 1754310636:0; 1754310696:0; 1754310756:0";;t4;Energy ACIn2 to AcOut;%.2F;%.2F kWh
321;Multiplus2;;;"1754310520:0; 1754310580:0; 1754310640:0; 1754310700:0; 1754310760:0";;t5;Energy Multiplus2 to AcIn1;%.2F;%.2F kWh
322;Multiplus2;;;"1754310463:0; 1754310523:0; 1754310583:0; 1754310643:0; 1754310703:0";;t6;Energy Multiplus2 to AcIn2;%.2F;%.2F kWh
323;Multiplus2;;;"1754310468:0; 1754310528:0; 1754310588:0; 1754310648:0; 1754310708:0";;t7;Energy AcOut to AcIn1;%.2F;%.2F kWh
324;Multiplus2;;;"1754310472:0; 1754310532:0; 1754310592:0; 1754310652:0; 1754310712:0";;t8;Energy AcOut to AcIn2;%.2F;%.2F kWh
325;Multiplus2;;;"1754310477:0; 1754310537:0; 1754310597:0; 1754310657:0; 1754310717:0";;t9;Multiplus2 To AcOut;%.2F;%.2F kWh
326;Multiplus2;;;"1754310481:0; 1754310541:0; 1754310601:0; 1754310661:0; 1754310721:0";;t10;AcOut to Multiplus2;%.2F;%.2F kWh
327;;;;N/A;;tv;Firmware version;%s;%s
328;;;;N/A;;tc;Tank capacity;%.3F;%.3F M3
329;;;;N/A;;tf;Tank fluid type;%s;%s
330;;;;N/A;;tl;Tank level;%.0F;%.0F %%
331;;;;N/A;;tr;Tank remaining fluid;%.3F;%.3F M3
332;;;;N/A;;H4bs;ESS battery life state;%s;%s
333;;;;N/A;;H4as;ESS battery life SOC limit;%.1F;%.1F %%
334;;;;N/A;;H4ms;ESS Minimum SOC (unless grid fails);%.1F;%.1F %%
335;;;;N/A;;cRelay1;CCGX Relay 2 state;%s;%s
336;;;;N/A;N/A;N/A;N/A;N/A;N/A
337;;;;N/A;;vb;VRM buffer mount state;%s;%s
338;;;;N/A;;dH21;Discharged Energy delta;%.2F;%.2F kWh
339;;;;N/A;;dH22;Charged Energy delta;%.2F;%.2F kWh
340;;;;N/A;;dYU;User yield delta;%.2F;%.2F kWh
341;;;;N/A;;dpE;Energy delta;%.2F;%.2F kWh
342;;;;N/A;;dgb;Grid Energy from net delta;%.2F;%.2F kWh
343;;;;N/A;;dgs;Grid Energy to net delta;%.2F;%.2F kWh
344;Multiplus2;;;"1754310486:0; 1754310546:0; 1754310606:0; 1754310666:0; 1754310726:0";;eT1;Temperature L1;%s;%s
345;Multiplus2;;;"1754310489:2; 1754310549:2; 1754310609:2; 1754310669:2; 1754310729:2";;eL1;Low battery L1;%s;%s
346;Multiplus2;;;"1754310493:0; 1754310553:0; 1754310613:0; 1754310673:0; 1754310733:0";;eO1;Overload L1;%s;%s
347;Multiplus2;;;"1754310497:0; 1754310557:0; 1754310617:0; 1754310677:0; 1754310737:0";;eR1;High DC Ripple L1;%s;%s
348;Multiplus2;;;"1754310501:0; 1754310561:0; 1754310621:0; 1754310681:0; 1754310741:0";;eT2;Temperature L2;%s;%s
349;Multiplus2;;;"1754310506:0; 1754310566:0; 1754310626:0; 1754310686:0; 1754310746:0";;eL2;Low battery L2;%s;%s
350;Multiplus2;;;"1754310509:0; 1754310569:0; 1754310629:0; 1754310689:0; 1754310749:0";;eO2;Overload L2;%s;%s
351;Multiplus2;;;"1754310514:0; 1754310574:0; 1754310634:0; 1754310694:0; 1754310754:0";;eR2;High DC Ripple L2;%s;%s
352;Multiplus2;;;"1754310518:0; 1754310578:0; 1754310638:0; 1754310698:0; 1754310758:0";;eT3;Temperature L3;%s;%s
353;Multiplus2;;;"1754310522:0; 1754310582:0; 1754310642:0; 1754310702:0; 1754310762:0";;eL3;Low battery L3;%s;%s
354;Multiplus2;;;"1754310525:0; 1754310585:0; 1754310645:0; 1754310705:0; 1754310765:0";;eO3;Overload L3;%s;%s
355;Multiplus2;;;"1754310529:0; 1754310589:0; 1754310649:0; 1754310709:0; 1754310769:0";;eR3;High DC Ripple L3;%s;%s
356;Multiplus2;;;"1754310474:0; 1754311794:0; 1754311854:0; 1754316714:0; 1754316774:0";;pmk2;Mk2 product name;%s;%s
357;Multiplus2;;;"1754310478:0; 1754311798:0; 1754311858:0; 1754316718:0; 1754316778:0";;asT0;Device 0 assistant list;%s;%s
358;;;;N/A;;asT1;Device 1 assistant list;%s;%s
359;;;;N/A;;asT2;Device 2 assistant list;%s;%s
360;;;;N/A;;asT3;Device 3 assistant list;%s;%s
361;;;;N/A;;asT4;Device 4 assistant list;%s;%s
362;;;;N/A;;asT5;Device 5 assistant list;%s;%s
363;;;;N/A;;asT6;Device 6 assistant list;%s;%s
364;;;;N/A;;asT7;Device 7 assistant list;%s;%s
365;;;;N/A;;asT8;Device 8 assistant list;%s;%s
366;;;;N/A;;asT9;Device 9 assistant list;%s;%s
367;;;;N/A;;asT10;Device 10 assistant list;%s;%s
368;;;;N/A;;asT11;Device 11 assistant list;%s;%s
369;;;;N/A;;asT12;Device 12 assistant list;%s;%s
370;;;;N/A;;asT13;Device 13 assistant list;%s;%s
371;;;;N/A;;asT14;Device 14 assistant list;%s;%s
372;;;;N/A;;mq;MQTT service;%s;%s
373;;;;N/A;;g1f;Grid L1 - Energy from net;%.2F;%.2F kWh
374;;;;N/A;;g2f;Grid L2 - Energy from net;%.2F;%.2F kWh
375;;;;N/A;;g3f;Grid L3 - Energy from net;%.2F;%.2F kWh
376;;;;N/A;;g1r;Grid L1 - Energy to net;%.2F;%.2F kWh
377;;;;N/A;;g2r;Grid L2 - Energy to net;%.2F;%.2F kWh
378;;;;N/A;;g3r;Grid L3 - Energy to net;%.2F;%.2F kWh
379;;;;N/A;;g1p;Grid L1 - Power;%.0F;%.0F W
380;;;;N/A;;g2p;Grid L2 - Power;%.0F;%.0F W
381;;;;N/A;;g3p;Grid L3 - Power;%.0F;%.0F W
382;;;;N/A;;gP;Grid meter model;%s;%s
383;;;;N/A;;la1;load avg 1m;%.2f;%.2f
384;;;;N/A;;la2;load avg 5m;%.2f;%.2f
385;;;;N/A;;la3;load avg 10m;%.2f;%.2f
386;;;;N/A;;mi;Productid;%s;%s
387;;;;N/A;;mn;MachineName;%s;%s
388;;;;N/A;;dPV;Disable PV Multiplus2;%d;%d
389;Multiplus2;;;"1754310513:0; 1754310573:0; 1754310633:0; 1754310693:0; 1754310753:0";;eTS;Temperatur sensor alarm;%s;%s
390;Multiplus2;;;"1754310516:0; 1754310576:0; 1754310636:0; 1754310696:0; 1754310756:0";;eVS;Voltage sensor alarm;%s;%s
391;;;;N/A;;tP;Product ID;%s;%s
392;;;;N/A;;vbc;VE.Bus JK-BMS allows battery to be charged;%d;%d
393;;;;N/A;;vbd;VE.Bus JK-BMS allows battery to be discharged;%d;%d
394;;;;N/A;;vbx;VE.Bus JK-BMS is expected;%d;%d
395;;;;N/A;;vbe;VE.Bus JK-BMS error;%d;%d
396;;;;N/A;Battery Voltage;Hcsp;Charge voltage setpoint;%.2F;%.2F V
397;;;;N/A;;iOI1;Output current;%.1F;%.1F A
398;;;;N/A;AC Voltage;iOV1;Output voltage;%.1F;%.1F V
399;;;;N/A;;iHT;High temperature alarm;%s;%s
400;;;;N/A;;iHV;High battery voltage alarm;%s;%s
401;;;;N/A;;iHVA;High AC-Out voltage alarm;%s;%s
402;;;;N/A;;iLT;Low temperature alarm;%s;%s
403;;;;N/A;;iLV;Low battery voltage alarm;%s;%s
404;;;;N/A;;ilVA;Low AC-Out voltage alarm;%s;%s
405;;;;N/A;;iO;Overload alarm;%s;%s
406;;;;N/A;;iR;Ripple alarm;%s;%s
407;;;;N/A;Battery Voltage;i0V;Voltage;%.2F;%.2F V
408;;;;N/A;;iFV;Firmware version;%s;%s
409;;;;N/A;;iM;Multiplus2 on/off/eco;%s;%s
410;;;;N/A;;iP;Multiplus2 model;%s;%s
411;;;;N/A;;iSN;Multiplus2 serial number;%s;%s
412;;;;N/A;;iST;Multiplus2 state;%s;%s
413;JK-BMS;;;"1754292709:111; 1754308849:111; 1754309929:111; 1754310109:111; 1754310529:111";;ca;Capacity;%.1F;%.1F Ah
414;;;;N/A;;GP;Generator model;%s;%s
415;;;;N/A;;Gv;Firmware version;%s;%s
416;;;;N/A;;GST;Status;%s;%s
417;;;;N/A;;GE;Error;%s;%s
418;;;;N/A;;Gas;Remote start mode;%s;%s
419;;;;N/A;;Gel;Engine load;%.0F;%.0F %%
420;;;;N/A;;Ges;Engine speed;%.0F;%.0F RPM
421;;;;N/A;;Geo;Engine operating hours;%.0F;%.0F s
422;;;;N/A;;Gct;Engine coolant temperature;%.0F;%.0F øC
423;;;;N/A;;Gwt;Engine winding temperature;%.0F;%.0F øC
424;;;;N/A;;Get;Engine exhaust temperature;%.0F;%.0F øC
425;;;;N/A;;Gsv;Starter voltage;%.2F;%.2F V
426;;;;N/A;AC Voltage;G1v;Phase 1 voltage;%.1F;%.1F V
427;;;;N/A;;G1c;Phase 1 current;%.1F;%.1F A
428;;;;N/A;;G1p;Phase 1 power;%.0F;%.0F W
429;JK-BMS;;;"1754289402:29; 1754289462:29; 1754289522:29; 1754289582:29; 1754289642:29";;mcT;Minimum cell temperature;%.0F;%.0F øC
430;JK-BMS;;;"1754289346:30; 1754289406:30; 1754289466:30; 1754289526:30; 1754289586:30";;McT;Maximum cell temperature;%.0F;%.0F øC
431;;;;N/A;;G1f;Phase 1 frequency;%.2F;%.2F Hz
432;;;;N/A;AC Voltage;G2v;Phase 2 voltage;%.1F;%.1F V
433;;;;N/A;;G2c;Phase 2 current;%.1F;%.1F A
434;;;;N/A;;G2p;Phase 2 power;%.0F;%.0F W
435;;;;N/A;;G2f;Phase 2 frequency;%.2F;%.2F Hz
436;;;;N/A;AC Voltage;G3v;Phase 3 voltage;%.1F;%.1F V
437;;;;N/A;;G3c;Phase 3 current;%.1F;%.1F A
438;;;;N/A;;G3p;Phase 3 power;%.0F;%.0F W
439;;;;N/A;;G3f;Phase 3 frequency;%.2F;%.2F Hz
440;;;;N/A;;gaNF;Fischer Panda genset not detected at AC-inputess;%s;%s
441;;;;N/A;;gaNG;Generator not detected at AC-input;%s;%s
442;MPPT;;;"1754289384:0; 1754289444:0; 1754289504:0; 1754289564:0; 1754289624:0";;PVP;PV power;%d;%d W
443;;;;N/A;;ts;Tank status;%s;%s
444;;;;N/A;;pLi;Power Limit;%.0F;%.0F W
445;;;;N/A;;tsP;Product ID;%s;%s
446;;;;N/A;;tsV;Firmware version;%s;%s
447;;;;N/A;;tsc;Temperature scale factor;%.1F;%.1F
448;;;;N/A;;tso;Temperature offset;%.0F;%.0F
449;;;;N/A;;tst;Temperature type;%s;%s
450;;;;N/A;Temperature;tsT;Temperature;%.1F;%.1F øC
451;;;;N/A;;tsS;Temperature status;%s;%s
452;;;;N/A;N/A;N/A;N/A;N/A;N/A
453;;;;N/A;;cp;Capabilities;%s;%s
454;;;;N/A;;bol;DVCC;%s;%s
455;;;;N/A;;Gu;Gas;%.3F;%.3F m3
456;;;;N/A;N/A;N/A;N/A;N/A;N/A
457;;;;N/A;;gm;Gas meter;%.3F;%.3F m3
458;;;;N/A;;gi;ProductId;%s;%s
459;JK-BMS;;;"1754289445:0; 1754289505:0; 1754289565:0; 1754289625:0; 1754289685:0";;AHCT;High charge temperature alarm;%s;%s
460;JK-BMS;;;"1754289448:0; 1754289508:0; 1754289568:0; 1754289628:0; 1754289688:0";;ALCT;Low charge temperature alarm;%s;%s
461;;;;N/A;;pmP;Pulse meter product id;%s;%s
462;;;;N/A;;ma;Pulse meter aggregate;%s;%s
463;;;;N/A;;mc;Pulse meter count;%.0F;%.0F
464;;;;N/A;;diP;Digital input product id;%s;%s
465;;;;N/A;;dia;Digital input alarm;%s;%s
466;;;;N/A;;dis;Digital input state;%s;%s
467;;;;N/A;;dic;Digital input count;%.0F;%.0F
468;;;;N/A;;dit;Digital input type;%s;%s
469;;;;N/A;;sca;ESS Scheduled Charging;%s;%s
470;;;;N/A;;hp;Hung processes;%d;%d
471;;;;N/A;;AIS;AC-Input;%s;%s
472;;;;N/A;;ssls;"#1 Low SOC; discharge disabled";%s;%s
473;;;;N/A;;ssbl;#2 BatteryLife is active;%s;%s
474;;;;N/A;;ssdd;#4 Discharge disabled by JK-BMS;%s;%s
475;;;;N/A;;ssdc;#3 Charge disabled by JK-BMS;%s;%s
476;;;;N/A;;sssc;#5 Slow charge is active;%s;%s
477;;;;N/A;;ssuc;#6 Charge disabled by user setting;%s;%s
478;;;;N/A;;ssud;#7 Discharge disabled by user setting;%s;%s
479;;;;N/A;;zp;Zombie processes;%s;%s
480;;;;N/A;;dps;Data partition status;%s;%s
481;;;;N/A;;rdm;VRM Log ram disk mode;%s;%s
482;;;;N/A;;e0;Error 11 report - unit 1;%s;%s
483;;;;N/A;;c0;Error 11 id - unit 1;%s;%s
484;;;;N/A;;e1;Error 11 report - unit 2;%s;%s
485;;;;N/A;;c1;Error 11 id - unit 2;%s;%s
486;;;;N/A;;e2;Error 11 report - unit 3;%s;%s
487;;;;N/A;;c2;Error 11 id - unit 3;%s;%s
488;;;;N/A;;e3;Error 11 report - unit 4;%s;%s
489;;;;N/A;;c3;Error 11 id - unit 4;%s;%s
490;;;;N/A;;e4;Error 11 report - unit 5;%s;%s
491;;;;N/A;;c4;Error 11 id - unit 5;%s;%s
492;;;;N/A;;e5;Error 11 report - unit 6;%s;%s
493;;;;N/A;;c5;Error 11 id - unit 6;%s;%s
494;;;;N/A;;e6;Error 11 report - unit 7;%s;%s
495;;;;N/A;;c6;Error 11 id - unit 7;%s;%s
496;;;;N/A;;e7;Error 11 report - unit 8;%s;%s
497;;;;N/A;;c7;Error 11 id - unit 8;%s;%s
498;;;;N/A;;e8;Error 11 report - unit 9;%s;%s
499;;;;N/A;;c8;Error 11 id - unit 9;%s;%s
500;;;;N/A;;e9;Error 11 report - unit 10;%s;%s
501;;;;N/A;;c9;Error 11 id - unit 10;%s;%s
502;;;;N/A;;e10;Error 11 report - unit 11;%s;%s
503;;;;N/A;;c10;Error 11 id - unit 11;%s;%s
504;;;;N/A;;e11;Error 11 report - unit 12;%s;%s
505;;;;N/A;;c11;Error 11 id - unit 12;%s;%s
506;;;;N/A;;e12;Error 11 report - unit 13;%s;%s
507;;;;N/A;;c12;Error 11 id - unit 13;%s;%s
508;;;;N/A;;e13;Error 11 report - unit 14;%s;%s
509;;;;N/A;;c13;Error 11 id - unit 14;%s;%s
510;;;;N/A;;e14;Error 11 report - unit 15;%s;%s
511;;;;N/A;;c14;Error 11 id - unit 15;%s;%s
512;;;;N/A;;e15;Error 11 report - unit 16;%s;%s
513;;;;N/A;;c15;Error 11 id - unit 16;%s;%s
514;;;;N/A;;e16;Error 11 report - unit 17;%s;%s
515;;;;N/A;;c16;Error 11 id - unit 17;%s;%s
516;;;;N/A;;e17;Error 11 report - unit 18;%s;%s
517;;;;N/A;;c17;Error 11 id - unit 18;%s;%s
518;MPPT;;;"1754292227:1; 1754292287:1; 1754292347:1; 1754292407:1; 1754292467:1";;ScMm;MPPT State;%s;%s
519;Multiplus2;;;"1754310528:0; 1754310588:0; 1754310648:0; 1754310708:0; 1754310768:0";;ePR;Phase rotation;%s;%s
520;;;;N/A;;gaRC;Generator run reason;%s;%s
521;Multiplus2;;;"1754310470:32; 1754310530:30; 1754310590:30; 1754310650:30; 1754310710:30";;CT;Battery temperature;%.0F;%.0F øC
522;JK-BMS;;;"1754292231:0; 1754292291:0; 1754292351:0; 1754292411:0; 1754292471:0";;ALCV;Low cell voltage;%s;%s
523;Multiplus2;;;"1754310532:0; 1754310592:0; 1754310652:0; 1754310712:0; 1754310772:0";;eR;High DC Ripple;%s;%s
524;;;;N/A;;dpi;Product Id;%s;%s
525;;;;N/A;;df;Firmware version;%s;%s
526;;;;N/A;;dV;Voltage;%.2F;%.2F V
527;;;;N/A;;dI;Current;%.2F;%.2F A
528;;;;N/A;;dP;Power;%.0F;%.0F W
529;;;;N/A;;dO;Output state;%s;%s
530;;;;N/A;;de;Error Flags;%s;%s
531;;;;N/A;;To;Time off;%.2F;%.2F s
532;;;;N/A;;Tgs;Time generator;%.2F;%.2F s
533;;;;N/A;;Tg;Time grid;%.2F;%.2F s
534;;;;N/A;;Ti;Time inverting;%.2F;%.2F s
535;;;;N/A;;msP;Product Id;%s;%s
536;;;;N/A;;msI;Solar Irradiance;%.0F ;%.0F W/mý
537;;;;N/A;;msW;Wind speed;%.2F;%.2F m/s
538;;;;N/A;;msC;Sensor cell temperature;%.2F;%.2F øC
539;;;;N/A;;msT;External temperature;%.2F;%.2F øC
540;;;;N/A;;dE;Energy Total;%.3F;%.3F kWh
541;;;;N/A;;ddE;Energy - delta;%.4F;%.4F kWh
542;;;;N/A;N/A;N/A;N/A;N/A;N/A
543;;;;N/A;;rsIpPort;Remote support IP and port;%s;%s
544;Multiplus2;;;"1754310488:0; 1754310548:0; 1754310608:0; 1754310668:0; 1754310728:0";;q0;VE.Bus netw. error count - unit 1;%.0F;%.0F
545;;;;N/A;;q1;VE.Bus netw. error count - unit 2;%.0F;%.0F
546;;;;N/A;;q2;VE.Bus netw. error count - unit 3;%.0F;%.0F
547;;;;N/A;;q3;VE.Bus netw. error count - unit 4;%.0F;%.0F
548;;;;N/A;;q4;VE.Bus netw. error count - unit 5;%.0F;%.0F
549;;;;N/A;;q5;VE.Bus netw. error count - unit 6;%.0F;%.0F
550;;;;N/A;;q6;VE.Bus netw. error count - unit 7;%.0F;%.0F
551;;;;N/A;;q7;VE.Bus netw. error count - unit 8;%.0F;%.0F
552;;;;N/A;;q8;VE.Bus netw. error count - unit 9;%.0F;%.0F
553;;;;N/A;;q9;VE.Bus netw. error count - unit 10;%.0F;%.0F
554;;;;N/A;;q10;VE.Bus netw. error count - unit 11;%.0F;%.0F
555;;;;N/A;;q11;VE.Bus netw. error count - unit 12;%.0F;%.0F
556;;;;N/A;;ms;Machine serial number;%s;%s
557;Multiplus2;;;"1754310498:1; 1754310558:1; 1754310618:1; 1754310678:1; 1754310738:1";;vcs;Charge state;%s;%s
558;;;;N/A;;us;Update status;%s;%s
559;Multiplus2;;;"1754310499:0; 1754310559:0; 1754310619:0; 1754310679:0; 1754310739:0";;Agl;Grid alarm;%s;%s
560;;;;N/A;;shao;Has AC out system;%s;%s
561;;;;N/A;;Pj;PV Power AC-tied on Generator L1;%.0F;%.0F W
562;;;;N/A;;Pj2;PV Power AC-tied on Generator L2;%.0F;%.0F W
563;;;;N/A;;Pj3;PV Power AC-tied on Generator L3;%.0F;%.0F W
564;;;;N/A;;i1;AC Consumption on Input L1;%.0F;%.0F W
565;;;;N/A;;i2;AC Consumption on Input L2;%.0F;%.0F W
566;;;;N/A;;i3;AC Consumption on Input L3;%.0F;%.0F W
567;;;;N/A;;o1;AC Consumption on Output L1;%.0F;%.0F W
568;;;;N/A;;o2;AC Consumption on Output L2;%.0F;%.0F W
569;;;;N/A;;o3;AC Consumption on Output L3;%.0F;%.0F W
570;;;;N/A;;st;System type;%s;%s
571;;;;N/A;;ss;System state;%s;%s
572;;;;N/A;;mql;MQTT Local (https);%s;%s
573;;;;N/A;;mqli;MQTT Local (http);%s;%s
574;;;;N/A;;pcF;Signal Frequency;%.1F;%.1F MHz
575;;;;N/A;;pcR;Signal RSSI;%.0F;%.0F dB
576;;;;N/A;;pcN;Signal SNR (signal to noise ratio);%.1F;%.1F
577;;;;N/A;;rtt;D-Bus Round-trip time;%.0F;%.0F ms
578;;;;N/A;PV Voltage;evc;Effective charge voltage;%.1F;%.1F V
579;;;;N/A;;Amb;DVCC Multiple batteries alarm;%s;%s
580;;;;N/A;;Af;GX Error #48 DVCC with incompatible firmware;%s;%s
581;Multiplus2;;;"1754310517:0; 1754310577:0; 1754310637:0; 1754310697:0; 1754310757:0";;rt;Waiting to perform relay test;%s;%s
582;;;;N/A;;rwgm;Run without grid meter;%s;%s
583;MPPT;;;"1754292278:0; 1754292338:0; 1754292398:0; 1754292458:0; 1754292518:0";;ScOR;Solar charger off reason;%s;%s
584;;;;N/A;;la;Altitude;%.1F;%.1F m
585;;;;N/A;;Bcn;Battery custom name;%s;%s
586;;;;N/A;;Sccn;Solar charger custom name;%s;%s
587;;;;N/A;;pcn;PV Multiplus2 custom name;%s;%s
588;;;;N/A;;ccn;Charger custom name;%s;%s
589;;;;N/A;;gcn;Grid meter custom name;%s;%s
590;;;;N/A;;icn;Multiplus2 custom name;%s;%s
591;;;;N/A;;Gcn;Generator custom name;%s;%s
592;;;;N/A;;pmcn;Pulse Meter custom name;%s;%s
593;;;;N/A;;dicn;Digital Input custom name;%s;%s
594;;;;N/A;;iccid;SIM card identifier;%s;%s
595;;;;N/A;;mfp;Maximum configured feed-in power;%.0F;%.0F W
596;;;;N/A;;Ab;Available batteries;%s;%s
597;;;;N/A;N/A;N/A;N/A;N/A;N/A
598;;;;N/A;N/A;N/A;N/A;N/A;N/A
599;;;;N/A;N/A;N/A;N/A;N/A;N/A
600;;;;N/A;;Ba;Batteries;%s;%s
601;;;;N/A;;fcP;Product Id;%s;%s
602;;;;N/A;;fcf;Firmware version;%s;%s
603;;;;N/A;;fcab1;Afterburner T1;%.0F;%.0F øC
604;;;;N/A;;fcab2;Afterburner T2;%.0F;%.0F øC
605;;;;N/A;Battery Voltage;fcV;DC Voltage;%.2F;%.2F V
606;;;;N/A;;fcI;DC Current;%.1F;%.1F A
607;;;;N/A;;fcp;DC Power;%.0F;%.0F W
608;;;;N/A;;fcgf1;Fuel gas flow 1;%.1F;%.1F SLPM
609;;;;N/A;;fcgf2;Fuel gas flow 2;%.1F;%.1F SLPM
610;;;;N/A;;fcrt1;Reformer T1;%.0F;%.0F øC
611;;;;N/A;;fcrt2;Reformer T2;%.0F;%.0F øC
612;;;;N/A;;fcst1;Stack T1;%.0F;%.0F øC
613;;;;N/A;;fcst2;Stack T2;%.0F;%.0F øC
614;;;;N/A;;fcst3;Stack T3;%.0F;%.0F øC
615;;;;N/A;;fcst4;Stack T4;%.0F;%.0F øC
616;;;;N/A;;fcS;Status;%s;%s
617;;;;N/A;;fcAlp;Low fuel pressure;%s;%s
618;;;;N/A;;fcAb;Low battery;%s;%s
619;;;;N/A;;fcAg;Lost grid fuel cell shutdown;%s;%s
620;;;;N/A;;fcAst;Sulfur trap;%s;%s
621;;;;N/A;;fcAv;Vent;%s;%s
622;;;;N/A;;fcAc;Fuel cell fault;%s;%s
623;;;;N/A;;fcAct;Fuel cell over temp;%s;%s
624;;;;N/A;;fcAfl;Flow limited;%s;%s
625;;;;N/A;;fcAff;Flow fault;%s;%s
626;;;;N/A;;fcAe;Electrical fault;%s;%s
627;;;;N/A;;fcAt;Over temp;%s;%s
628;;;;N/A;;fcAi;Start inhibit;%s;%s
629;;;;N/A;;fcAs;Expedited stop;%s;%s
630;;;;N/A;Battery Voltage;glV;Voltage;%.2F;%.2F V
631;;;;N/A;;glT;Internal temperature;%.0F;%.0F øC
632;;;;N/A;;glAnt;Antenna Type;%s;%s
633;;;;N/A;;fcS1;Serial number overall system;%s;%s
634;;;;N/A;;fcS2;Serial number stack;%s;%s
635;;;;N/A;N/A;N/A;N/A;N/A;N/A
636;;;;N/A;;hwr;Hardware revision;%s;%s
637;;;;N/A;;tscn;Temperature custom name;%s;%s
638;;;;N/A;;tcn;Tank custom name;%s;%s
639;;;;N/A;;gps;Grid phase sequence;%s;%s
640;;;;N/A;;Gps;Genset phase sequence;%s;%s
641;;;;N/A;;o;Bad non-unique identifier;%s;%s
642;;;;N/A;;dl;Current limit;%.2F;%.2F A
643;;;;N/A;;dss;Saved state;%.0F;%.0F
644;;;;N/A;;da;24-Hour allocation;%.2F;%.2F Wh
645;;;;N/A;;du;24-Hour usage;%.2F;%.2F Wh
646;;;;N/A;;dq;Pro-rata quota;%.2F;%.2F Wh
647;;;;N/A;;drh;Reset hour;%.0F;%.0F
648;;;;N/A;;dts;Threshold management;%s;%s
649;Multiplus2;;;"1754310517:0; 1754310577:0; 1754310637:0; 1754310697:0; 1754310757:0";;eV;High DC Voltage;%s;%s
650;Multiplus2;;;"1754310518:0; 1754310578:0; 1754310638:0; 1754310698:0; 1754310758:0";;eC;High DC Current;%s;%s
651;;;;N/A;;v0;Device 0 High DC Voltage;%s;%s
652;;;;N/A;N/A;N/A;N/A;N/A;N/A
653;;;;N/A;;v1;Device 1 High DC Voltage;%s;%s
654;;;;N/A;;v2;Device 2 High DC Voltage;%s;%s
655;;;;N/A;;v3;Device 3 High DC Voltage;%s;%s
656;;;;N/A;;v4;Device 4 High DC Voltage;%s;%s
657;;;;N/A;;v5;Device 5 High DC Voltage;%s;%s
658;;;;N/A;;v6;Device 6 High DC Voltage;%s;%s
659;;;;N/A;;v7;Device 7 High DC Voltage;%s;%s
660;;;;N/A;;v8;Device 8 High DC Voltage;%s;%s
661;;;;N/A;;v9;Device 9 High DC Voltage;%s;%s
662;;;;N/A;;v10;Device 10 High DC Voltage;%s;%s
663;;;;N/A;;v11;Device 11 High DC Voltage;%s;%s
664;;;;N/A;;d0;Device 0 High DC Current;%s;%s
665;;;;N/A;;d1;Device 1 High DC Current;%s;%s
666;;;;N/A;;d2;Device 2 High DC Current;%s;%s
667;;;;N/A;;d3;Device 3 High DC Current;%s;%s
668;;;;N/A;;d4;Device 4 High DC Current;%s;%s
669;;;;N/A;;d5;Device 5 High DC Current;%s;%s
670;;;;N/A;;d6;Device 6 High DC Current;%s;%s
671;;;;N/A;;d7;Device 7 High DC Current;%s;%s
672;;;;N/A;;d8;Device 8 High DC Current;%s;%s
673;;;;N/A;;d9;Device 9 High DC Current;%s;%s
674;;;;N/A;;d10;Device 10 High DC Current;%s;%s
675;;;;N/A;;d11;Device 11 High DC Current;%s;%s
676;;;;N/A;;H4m;No grid meter alarm;%s;%s
677;Multiplus2;;;"1754310480:0; 1754310540:0; 1754310600:0; 1754310660:0; 1754310720:0";;ia;Ignore AC input;%s;%s
678;;;;N/A;;ns0;Interface protection log 0;%s;%s
679;;;;N/A;;ns1;Interface protection log 1;%s;%s
680;;;;N/A;;ns2;Interface protection log 2;%s;%s
681;;;;N/A;;ns3;Interface protection log 3;%s;%s
682;;;;N/A;;ns4;Interface protection log 4;%s;%s
683;;;;N/A;;ns5;Interface protection log 5;%s;%s
684;;;;N/A;;ns6;Interface protection log 6;%s;%s
685;;;;N/A;;ns7;Interface protection log 7;%s;%s
686;;;;N/A;;ns8;Interface protection log 8;%s;%s
687;;;;N/A;;ns9;Interface protection log 9;%s;%s
688;;;;N/A;;ns10;Interface protection log 10;%s;%s
689;;;;N/A;;ns11;Interface protection log 11;%s;%s
690;;;;N/A;;PCo;Programmable Contact;%s;%s
691;;;;N/A;;ble;Bluetooth enabled;%s;%s
692;;;;N/A;;nr;NodeRed;%s;%s
693;;;;N/A;;sk;SignalK;%s;%s
694;;;;N/A;;nrCaps;Node RED Capabilities;%s;%s
695;;;;N/A;PV Voltage;PVV0;PV Voltage on tracker 1;%.2F;%.1F V
696;;;;N/A;PV Voltage;PVV1;PV Voltage on tracker 2;%.2F;%.1F V
697;;;;N/A;PV Voltage;PVV2;PV Voltage on tracker 3;%.2F;%.1F V
698;;;;N/A;PV Voltage;PVV3;PV Voltage on tracker 4;%.2F;%.1F V
